arrived_date,arrived_hour,arrived_minute,record_count
2018-08-22 09:30:13.500,9,30,306
2018-08-23 10:00:16.027,10,0,367
2018-08-24 14:30:18.003,14,30,326
2018-08-25 08:30:06.260,8,30,262
2018-08-26 08:30:09.477,8,30,17
2018-08-27 12:30:10.283,12,30,13
2018-08-28 10:00:20.540,10,0,368
2018-08-29 10:30:15.420,10,30,394
2018-08-30 11:00:11.590,11,0,392
2018-08-31 16:30:11.720,16,30,386
2018-09-01 12:30:06.240,12,30,369
2018-09-02 09:30:13.670,9,30,15
2018-09-03 14:00:15.767,14,0,18
2018-09-04 14:30:14.497,14,30,131
2018-09-05 15:00:12.237,15,0,239
2018-09-06 11:00:16.687,11,0,297
2018-09-07 12:00:15.217,12,0,331
2018-09-08 09:30:07.893,9,30,263
2018-09-09 08:30:12.937,8,30,12
2018-09-10 14:30:16.337,14,30,38
2018-09-11 11:30:10.083,11,30,334
2018-09-12 10:00:10.300,10,0,311
2018-09-13 11:00:16.443,11,0,309
2018-09-14 13:00:12.980,13,0,277
2018-09-15 08:30:04.660,8,30,222
2018-09-16 09:00:09.120,9,0,26
2018-09-17 12:30:14.483,12,30,21
2018-09-18 11:00:16.393,11,0,290
2018-09-19 11:30:20.113,11,30,392
2018-09-20 10:30:03.757,10,30,319
2018-09-21 13:30:08.140,13,30,383
2018-09-22 09:00:01.060,9,0,336
2018-09-23 09:00:02.600,9,0,4
2018-09-24 14:00:12.417,14,0,9
2018-09-25 14:00:12.417,10,11,310
2018-09-26 12:00:03.403,12,0,439
2018-09-27 12:00:02.850,12,0,397
2018-09-28 16:30:15.167,16,30,463
2018-09-29 09:30:08.660,9,30,414
2018-09-30 09:30:14.363,9,30,23
2018-10-01 16:30:08.760,16,30,29
2018-10-02 14:00:15.813,14,0,308
2018-10-03 14:00:16.400,14,0,335
2018-10-04 11:30:17.540,11,30,342
2018-10-05 11:00:19.783,11,0,296
2018-10-06 09:00:03.863,9,0,264
2018-10-07 08:00:11.640,8,0,5
2018-10-08 11:30:07.437,11,30,20
2018-10-09 10:30:15.053,10,30,302
2018-10-10 09:30:15.513,9,30,342
2018-10-11 12:30:09.873,12,30,364
2018-10-12 13:30:08.103,13,30,355
2018-10-13 08:30:05.870,8,30,276
2018-10-14 08:30:07.797,8,30,8
2018-10-15 14:30:11.243,14,30,25
2018-10-16 13:00:11.347,13,0,337
2018-10-17 13:30:10.010,13,30,342
2018-10-18 12:00:10.760,12,0,318
2018-10-19 14:00:17.927,14,0,374
2018-10-20 09:30:06.520,9,30,306
